0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green
green,green,green,green,green,grey,very-light-blue,very-light-blue,very-light-blue,very-light-blue,medium-grey,green,green,green,green,green,green,green,green,green
green,green,green,green,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,grey,green,green,green,green,green,green,green,green
green,green,green,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,medium-forest-green,medium-grey,medium-grey,medium-grey,green,green,green,green
green,green,medium-grey,very-light-blue,very-light-blue,very-light-blue,very-light-blue,white,grey,very-light-blue,white,medium-brown,terra-cotta,very-light-blue,very-light-blue,very-light-blue,very-light-blue,green,green,green
green,green,grey,very-light-blue,very-light-blue,grey,dark-grey,blue-violet,blue-violet,blue-violet,brass,bronze,bronze,grey,very-light-blue,very-light-blue,very-light-blue,very-light-blue,green,green
green,green,grey,very-light-blue,white,blue-violet,dark-purple,dark-purple,dark-purple,blue-violet,very-light-blue,medium-grey,bronze,grey,very-light-blue,very-light-blue,very-light-blue,very-light-blue,grey,green
green,green,medium-grey,very-light-blue,lavender,dark-purple,dark-purple,dark-purple,dark-purple,dark-lavender,very-light-blue,very-light-blue,terra-cotta,white,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,green
green,green,green,very-light-blue,dark-lavender,blue-violet,blue-violet,dark-purple,dark-purple,medium-grey,very-light-blue,very-light-blue,brass,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,green
green,green,green,dark-grey,blue-violet,grey,white,light-lavender,dark-grey,dark-lavender,very-light-blue,lavender,dark-grey,dark-beige,dark-beige,medium-grey,white,very-light-blue,very-light-blue,green
green,green,rainforest,bronze,dark-purple,dark-grey,white,very-light-blue,very-light-blue,black,black,black,bronze,bronze,bronze,bronze,bronze,lavender,light-aqua,green
green,sea-green,bronze,bronze,bronze,terra-cotta,mahogany,antique-brass,dark-grey,black,black,black,bronze,bronze,bronze,bronze,bronze,terra-cotta,sea-green,green
green,moss-green,bronze,bronze,bronze,bronze,medium-grey,very-light-blue,very-light-blue,pewter,black,antique-brass,terra-cotta,bronze,bronze,bronze,rosewood,blue-violet,blue-violet,green
green,terra-cotta,bronze,bronze,bronze,dark-beige,very-light-blue,very-light-blue,very-light-blue,dark-lavender,blue-violet,very-light-blue,dark-lavender,blue-violet,blue-violet,blue-violet,dark-purple,dark-purple,blue-violet,green
green,moss-green,bronze,bronze,bronze,grey,very-light-blue,very-light-blue,very-light-blue,dark-lavender,blue-violet,very-light-blue,white,blue-violet,dark-purple,dark-purple,dark-purple,dark-purple,blue-violet,green
green,rainforest,bronze,bronze,terra-cotta,very-light-blue,very-light-blue,very-light-blue,very-light-blue,lavender,dark-lavender,very-light-blue,very-light-blue,blue-violet,dark-purple,dark-purple,dark-purple,dark-purple,blue-violet,green
green,green,terra-cotta,bronze,bronze,white,very-light-blue,very-light-blue,very-light-blue,grey,light-lavender,very-light-blue,very-light-blue,blue-violet,dark-purple,dark-purple,dark-purple,blue-violet,sea-green,green
green,green,green,terra-cotta,bronze,medium-grey,very-light-blue,very-light-blue,grey,medium-brown,medium-brown,white,lavender,dark-purple,dark-purple,dark-purple,blue-violet,sea-green,green,green
green,green,green,green,medium-forest-green,rainforest,dark-grey,medium-brown,bronze,bronze,bronze,moss-green,kelly-green,blue-violet,blue-violet,blue-violet,sea-green,green,green,green
green,green,green,green,green,green,green,rainforest,moss-green,moss-green,rainforest,green,green,green,green,green,green,green,green,green
