antique-brass,[74 68 50]
black,[28 24 30]
blue-violet,[ 45  41 101]
brass,[113  86  61]
bright-red,[201  22  31]
bright-yellow,[251 234  27]
bronze,[160  80  34]
brown,[75 29 16]
burgundy,[101  14  39]
burnt-orange,[200  69  20]
coffee,[57 19 11]
cornflower,[ 89 122 174]
dark-beige,[165 118  72]
dark-coral,[169  52  38]
dark-cornflower,[ 26  68 121]
dark-green,[37 47 26]
dark-grey,[ 88  92 105]
dark-lavender,[136  88 147]
dark-pink,[220  70 117]
dark-purple,[87 30 96]
dark-red,[130  19  35]
dark-rose,[184  25  72]
dark-royal-blue,[13 23 59]
dark-tan,[195 120  90]
dark-teal,[10 85 95]
ecru,[244 223 186]
green,[ 73 142  81]
grey,[193 197 206]
kelly-green,[54 84 62]
lavender,[170 122 169]
light-aqua,[122 198 185]
light-blue,[162 203 234]
light-lavender,[203 174 205]
light-orange,[240 119  37]
light-rose,[174 101 113]
light-straw,[210 143  84]
light-teal,[ 65 157 188]
lime,[192 187  59]
mahogany,[96 37 18]
medium-aqua,[ 10 143 135]
medium-brown,[134  82  51]
medium-forest-green,[58 91 58]
medium-gold,[220 134  49]
medium-grey,[130 130 130]
medium-teal,[  8 104 131]
moss-green,[82 80 32]
navy-blue,[ 9 31 40]
orange,[236  82  32]
paddy-green,[14 85 40]
pale-gold,[174 108  34]
pale-green,[221 228 177]
pale-peach,[249 197 174]
pale-pink,[247 186 190]
pale-sage,[169 168 100]
pale-yellow,[243 213 138]
pewter,[46 48 51]
pink,[245 159 183]
rainforest,[60 89 36]
red,[174  28  23]
rose,[192  96 109]
rosewood,[114  62  54]
salmon,[229 129 100]
sea-green,[35 95 78]
spring-green,[151 179  79]
straw-yellow,[244 154  44]
sunny-yellow,[252 249 178]
terra-cotta,[127  52  29]
turquoise,[  7 119 126]
vanilla,[234 214 154]
very-light-blue,[223 232 235]
white,[233 229 219]
yellow,[231 185  56]
