0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,lavender,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue
very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,grey,dark-grey,grey,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue
very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,lavender,lavender,medium-grey,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue
very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,lavender,pink,lavender,grey,light-lavender,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue
very-light-blue,lavender,light-lavender,light-lavender,light-lavender,light-lavender,lavender,medium-grey,lavender,dark-grey,lavender,medium-grey,lavender,light-lavender,light-lavender,light-lavender,light-lavender,lavender,grey
very-light-blue,dark-grey,medium-grey,grey,grey,grey,medium-grey,very-light-blue,very-light-blue,light-lavender,very-light-blue,very-light-blue,lavender,pale-pink,pale-pink,pale-pink,lavender,dark-grey,very-light-blue
very-light-blue,grey,pink,medium-grey,lavender,lavender,white,very-light-blue,very-light-blue,light-lavender,very-light-blue,very-light-blue,grey,pink,pink,medium-grey,light-lavender,lavender,very-light-blue
very-light-blue,very-light-blue,lavender,pale-pink,lavender,dark-grey,very-light-blue,very-light-blue,very-light-blue,light-lavender,very-light-blue,very-light-blue,very-light-blue,dark-grey,lavender,grey,medium-grey,very-light-blue,very-light-blue
very-light-blue,very-light-blue,white,lavender,lavender,very-light-blue,light-lavender,grey,very-light-blue,medium-grey,very-light-blue,grey,lavender,white,lavender,light-lavender,grey,very-light-blue,very-light-blue
very-light-blue,very-light-blue,very-light-blue,lavender,light-lavender,very-light-blue,very-light-blue,white,dark-grey,black,antique-brass,grey,very-light-blue,very-light-blue,lavender,medium-grey,very-light-blue,very-light-blue,very-light-blue
very-light-blue,very-light-blue,very-light-blue,lavender,light-lavender,very-light-blue,very-light-blue,very-light-blue,dark-grey,black,pewter,very-light-blue,very-light-blue,very-light-blue,grey,lavender,very-light-blue,very-light-blue,very-light-blue
very-light-blue,very-light-blue,white,lavender,lavender,very-light-blue,very-light-blue,lavender,white,medium-grey,grey,lavender,very-light-blue,very-light-blue,lavender,lavender,very-light-blue,very-light-blue,very-light-blue
very-light-blue,very-light-blue,medium-grey,grey,grey,dark-grey,grey,very-light-blue,very-light-blue,light-lavender,very-light-blue,very-light-blue,grey,medium-grey,pink,pale-pink,lavender,very-light-blue,very-light-blue
very-light-blue,grey,light-lavender,light-lavender,medium-grey,lavender,grey,very-light-blue,very-light-blue,light-lavender,very-light-blue,very-light-blue,very-light-blue,medium-grey,medium-grey,pink,pink,grey,very-light-blue
very-light-blue,medium-grey,medium-grey,lavender,pale-pink,pale-pink,lavender,very-light-blue,very-light-blue,light-lavender,very-light-blue,very-light-blue,lavender,grey,grey,lavender,lavender,lavender,very-light-blue
medium-grey,dark-grey,pink,pink,pink,pink,pink,lavender,white,lavender,white,grey,lavender,light-lavender,light-lavender,light-lavender,light-lavender,dark-grey,lavender
white,grey,grey,grey,grey,grey,grey,medium-grey,lavender,medium-grey,lavender,medium-grey,grey,grey,grey,grey,grey,grey,white
very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,medium-grey,lavender,lavender,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue
very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,grey,dark-grey,lavender,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue
very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,medium-grey,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue,very-light-blue
